"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Landlocked Developing Countries","Burkina Faso","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Least Developed Countries","Burkina Faso","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Sub-Saharan Africa","Burkina Faso","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Central and Southern Asia","Bangladesh","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Least Developed Countries","Bangladesh","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Southern Asia","Bangladesh","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Latin America and the Caribbean","Belize","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Medium; Coverage: Medium; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: High; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Small Island Developing States","Belize","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Medium; Coverage: Medium; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: High; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Landlocked Developing Countries","Bolivia (Plurinational State of)","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: High; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: High; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Latin America and the Caribbean","Brazil","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Medium; Coverage: Medium; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: High; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Latin America and the Caribbean","Chile","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: High; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: High; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Medium"
"SDG: Eastern and South-Eastern Asia","China","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: Medium; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: High; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Low"
"SDG: Eastern Asia","China","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: Medium; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: High; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Low"
"SDG: Sub-Saharan Africa","Côte d'Ivoire","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Medium; 4. Social resources to students - Existence: No; Volume: ; Coverage:"
"SDG: Sub-Saharan Africa","Cameroon","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Least Developed Countries","Democratic Republic of the Congo","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: yes; Volume: High; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Sub-Saharan Africa","Democratic Republic of the Congo","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: yes; Volume: High; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Sub-Saharan Africa","Congo","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: Medium; 2. Resources to schools - Existence: yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Low"
"SDG: Latin America and the Caribbean","Colombia","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Latin America and the Caribbean","Costa Rica","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: High; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: Medium"
"SDG: Latin America and the Caribbean","Dominican Republic","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: High; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: High; 3. Education resources to students - Existence: Yes; Volume: High; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Small Island Developing States","Dominican Republic","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: High; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: High; 3. Education resources to students - Existence: Yes; Volume: High; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Northern Africa","Algeria","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Northern Africa and Western Asia","Algeria","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Latin America and the Caribbean","Ecuador","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: High; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: Medium"
"SDG: Northern Africa","Egypt","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Northern Africa and Western Asia","Egypt","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Landlocked Developing Countries","Ethiopia","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: ; Coverage: Medium; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Least Developed Countries","Ethiopia","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: ; Coverage: Medium; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Sub-Saharan Africa","Ethiopia","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: ; Coverage: Medium; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Sub-Saharan Africa","Gabon","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Low"
"SDG: Northern Africa and Western Asia","Georgia","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: High; Coverage: High; 2. Resources to schools - Existence: No; Volume: ; Coverage: ; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Medium; 4. Social resources to students - Existence: No; Volume: ; Coverage:"
"SDG: Western Asia","Georgia","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: High; Coverage: High; 2. Resources to schools - Existence: No; Volume: ; Coverage: ; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Medium; 4. Social resources to students - Existence: No; Volume: ; Coverage:"
"SDG: Sub-Saharan Africa","Ghana","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: No; Volume: ; Coverage: ; 3. Education resources to students - Existence: Yes; Volume: High; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: Low"
"SDG: Least Developed Countries","Guinea","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: High; Coverage: High"
"SDG: Sub-Saharan Africa","Guinea","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: High; Coverage: High"
"SDG: Latin America and the Caribbean","Guatemala","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: High; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Medium"
"SDG: Latin America and the Caribbean","Guyana","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: High; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: No; Volume: ; Coverage:"
"SDG: Small Island Developing States","Guyana","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: High; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: No; Volume: ; Coverage:"
"SDG: Latin America and the Caribbean","Honduras","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Latin America and the Caribbean","Haiti","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: Medium"
"SDG: Least Developed Countries","Haiti","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: Medium"
"SDG: Small Island Developing States","Haiti","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: Medium"
"SDG: Eastern and South-Eastern Asia","Indonesia","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: High; 2. Resources to schools - Existence: No; Volume: ; Coverage: ; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: High; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: South-Eastern Asia","Indonesia","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: High; 2. Resources to schools - Existence: No; Volume: ; Coverage: ; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: High; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Central and Southern Asia","India","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Southern Asia","India","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Low; 3. Education resources to students - Existence: Yes; Volume: Low; Coverage: Low; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Central and Southern Asia","Iran (Islamic Republic of)","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: Low; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Southern Asia","Iran (Islamic Republic of)","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: Low; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: High"
"SDG: Latin America and the Caribbean","Jamaica","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
"SDG: Small Island Developing States","Jamaica","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Medium; Coverage: High"
