"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Algeria","2002","Female","Not applicable","Percent","89.91511"
"Algeria","2002","Male","Not applicable","Percent","91.93452"
"Algeria","2001","All genders","Not applicable","Percent","78.00258"
"Algeria","2001","Male","Not applicable","Percent","79.28013"
"Algeria","2001","Female","Not applicable","Percent","76.67134"
"Algeria","2000","Female","Not applicable","Percent","73.03013"
"Algeria","2000","Male","Not applicable","Percent","76.20054"
"Algeria","2000","All genders","Not applicable","Percent","74.64862"
"Algeria","1999","Female","Not applicable","Percent","74.19706"
"Algeria","1999","All genders","Not applicable","Percent","75.30686"
"Algeria","1999","Male","Not applicable","Percent","76.37036"
"Angola","2010","Male","Not applicable","Percent","63.47279"
"Angola","2010","All genders","Not applicable","Percent","57.33202"
"Angola","2010","Female","Not applicable","Percent","51.15462"
"Angola","2009","Male","Not applicable","Percent","60.63116"
"Angola","2009","Female","Not applicable","Percent","51.21218"
"Angola","2009","All genders","Not applicable","Percent","55.93537"
"Angola","2008","Male","Not applicable","Percent","57.39499"
"Angola","2008","All genders","Not applicable","Percent","52.55566"
"Angola","2008","Female","Not applicable","Percent","47.6895"
"Angola","1998","Male","Not applicable","Percent","23.87469"
"Angola","1998","Female","Not applicable","Percent","19.14"
"Angola","1998","All genders","Not applicable","Percent","21.49138"
"Antigua and Barbuda","2014","Female","Not applicable","Percent","66.30137"
"Antigua and Barbuda","2014","Male","Not applicable","Percent","73.76374"
"Antigua and Barbuda","2014","All genders","Not applicable","Percent","70.02743"
"Antigua and Barbuda","2012","Male","Not applicable","Percent","50.54348"
"Antigua and Barbuda","2012","All genders","Not applicable","Percent","50.03376"
"Antigua and Barbuda","2012","Female","Not applicable","Percent","49.5302"
"Antigua and Barbuda","2011","Male","Not applicable","Percent","65.4105"
"Antigua and Barbuda","2011","Female","Not applicable","Percent","66.44474"
"Antigua and Barbuda","2011","All genders","Not applicable","Percent","65.93039"
"Antigua and Barbuda","2010","All genders","Not applicable","Percent","62.409"
"Antigua and Barbuda","2009","Male","Not applicable","Percent","59.32203"
"Antigua and Barbuda","2009","All genders","Not applicable","Percent","59.07007"
"Antigua and Barbuda","2009","Female","Not applicable","Percent","58.81579"
"Antigua and Barbuda","2000","All genders","Not applicable","Percent","97.16066"
"Armenia","2002","Female","Not applicable","Percent","71.76542"
"Armenia","2002","All genders","Not applicable","Percent","70.359"
"Armenia","2002","Male","Not applicable","Percent","69.06007"
"Aruba","2009","All genders","Not applicable","Percent","92.12727"
"Aruba","2009","Female","Not applicable","Percent","96.01707"
"Aruba","2009","Male","Not applicable","Percent","88.38031"
"Aruba","2005","Male","Not applicable","Percent","80.49271"
"Aruba","2005","Female","Not applicable","Percent","80.77437"
"Aruba","2005","All genders","Not applicable","Percent","80.63248"
"Aruba","2004","Male","Not applicable","Percent","81.80662"
"Aruba","2004","All genders","Not applicable","Percent","78.36059"
"Aruba","2004","Female","Not applicable","Percent","74.85868"
"Aruba","2003","Male","Not applicable","Percent","82.18997"
"Aruba","2003","Female","Not applicable","Percent","79.78437"
"Aruba","2003","All genders","Not applicable","Percent","81"
"Aruba","2000","Male","Not applicable","Percent","78.54608"
"Aruba","2000","All genders","Not applicable","Percent","83.12634"
"Aruba","2000","Female","Not applicable","Percent","87.82849"
"Aruba","1999","Male","Not applicable","Percent","86.16874"
"Aruba","1999","Female","Not applicable","Percent","83.55115"
"Aruba","1999","All genders","Not applicable","Percent","84.87759"
"Azerbaijan","2014","Female","Not applicable","Percent","78.37206"
"Azerbaijan","2014","Male","Not applicable","Percent","80.20247"
"Azerbaijan","2014","All genders","Not applicable","Percent","79.34951"
"Azerbaijan","2013","Male","Not applicable","Percent","84.29562"
"Azerbaijan","2013","All genders","Not applicable","Percent","81.8265"
"Azerbaijan","2013","Female","Not applicable","Percent","79.02244"
"Azerbaijan","2012","Male","Not applicable","Percent","79.91906"
"Azerbaijan","2012","Female","Not applicable","Percent","75.61956"
"Azerbaijan","2012","All genders","Not applicable","Percent","77.91141"
"Azerbaijan","2011","Male","Not applicable","Percent","77.44527"
"Azerbaijan","2011","All genders","Not applicable","Percent","76.33033"
"Azerbaijan","2011","Female","Not applicable","Percent","75.04874"
"Azerbaijan","2010","Male","Not applicable","Percent","69.44775"
"Azerbaijan","2010","All genders","Not applicable","Percent","67.98925"
"Azerbaijan","2010","Female","Not applicable","Percent","66.32139"
"Azerbaijan","2009","All genders","Not applicable","Percent","71.04121"
"Azerbaijan","2009","Female","Not applicable","Percent","69.47057"
"Azerbaijan","2009","Male","Not applicable","Percent","72.41985"
"Azerbaijan","2008","All genders","Not applicable","Percent","70.93465"
"Azerbaijan","2008","Female","Not applicable","Percent","70.39448"
"Azerbaijan","2008","Male","Not applicable","Percent","71.40475"
"Azerbaijan","2007","Female","Not applicable","Percent","65.52921"
"Azerbaijan","2007","Male","Not applicable","Percent","67.47976"
"Azerbaijan","2007","All genders","Not applicable","Percent","66.56135"
"Azerbaijan","2006","Female","Not applicable","Percent","60.76938"
"Azerbaijan","2006","Male","Not applicable","Percent","68.33314"
"Azerbaijan","2006","All genders","Not applicable","Percent","64.55885"
"Azerbaijan","2005","Male","Not applicable","Percent","66.30308"
"Azerbaijan","2005","All genders","Not applicable","Percent","62.51175"
"Azerbaijan","2005","Female","Not applicable","Percent","58.687"
"Azerbaijan","2004","Male","Not applicable","Percent","68.08595"
"Azerbaijan","2004","Female","Not applicable","Percent","64.23581"
"Azerbaijan","2004","All genders","Not applicable","Percent","66.21266"
"Azerbaijan","2003","Male","Not applicable","Percent","64.41936"
"Azerbaijan","2003","All genders","Not applicable","Percent","62.70848"
"Azerbaijan","2003","Female","Not applicable","Percent","60.8927"
"Azerbaijan","2002","Male","Not applicable","Percent","64.61196"
"Azerbaijan","2002","Female","Not applicable","Percent","57.12947"
"Azerbaijan","2002","All genders","Not applicable","Percent","60.85538"
"Azerbaijan","1999","Male","Not applicable","Percent","84.99325"
"Azerbaijan","1999","All genders","Not applicable","Percent","85.94741"
"Azerbaijan","1999","Female","Not applicable","Percent","86.95892"
"Azerbaijan","1998","Male","Not applicable","Percent","83.24408"
"Azerbaijan","1998","Female","Not applicable","Percent","81.48839"
"Azerbaijan","1998","All genders","Not applicable","Percent","82.38781"
"Bahamas","2009","Female","Not applicable","Percent","75.05986"
"Bahamas","2009","All genders","Not applicable","Percent","71.06292"
"Bahamas","2009","Male","Not applicable","Percent","67.22818"
"Bahamas","2008","All genders","Not applicable","Percent","73.26"
"Bahamas","2008","Male","Not applicable","Percent","71.76339"
"Bahamas","2008","Female","Not applicable","Percent","74.81625"
"Bahamas","2007","All genders","Not applicable","Percent","76.43454"
"Bahamas","2007","Female","Not applicable","Percent","76.91143"
"Bahamas","2007","Male","Not applicable","Percent","75.97521"
"Bahamas","2006","All genders","Not applicable","Percent","76.30611"
"Bahamas","2006","Male","Not applicable","Percent","72.99349"
"Bahamas","2006","Female","Not applicable","Percent","79.73783"
"Bahamas","2005","All genders","Not applicable","Percent","77.27023"
"Bahamas","2005","Female","Not applicable","Percent","78.97876"
"Bahamas","2005","Male","Not applicable","Percent","75.61416"
"Bahamas","1999","All genders","Not applicable","Percent","83.73742"
"Bahamas","1999","Male","Not applicable","Percent","85.691"
"Bahamas","1999","Female","Not applicable","Percent","81.73623"
"Bahrain","1999","Male","Not applicable","Percent","81.68952"
"Bahrain","1999","Female","Not applicable","Percent","84.02349"
"Bahrain","1999","All genders","Not applicable","Percent","82.84416"
"Bangladesh","2010","All genders","Not applicable","Percent","92.13364"
"Bangladesh","2010","Male","Not applicable","Percent","91.85417"
"Bangladesh","2010","Female","Not applicable","Percent","92.42483"
"Bangladesh","2009","Male","Not applicable","Percent","91.79724"
"Bangladesh","2009","Female","Not applicable","Percent","94.36667"
"Bangladesh","2009","All genders","Not applicable","Percent","93.05582"
"Bangladesh","2008","Male","Not applicable","Percent","91.57688"
"Bangladesh","2008","All genders","Not applicable","Percent","91.38117"
"Bangladesh","2008","Female","Not applicable","Percent","91.17728"
"Bangladesh","2007","Male","Not applicable","Percent","91.30004"
"Bangladesh","2007","Female","Not applicable","Percent","90.43676"
"Bangladesh","2007","All genders","Not applicable","Percent","90.87732"
"Bangladesh","2006","Male","Not applicable","Percent","87.92806"
"Bangladesh","2006","All genders","Not applicable","Percent","87.73412"
"Bangladesh","2006","Female","Not applicable","Percent","87.53197"
"Barbados","2014","All genders","Not applicable","Percent","2.73299"
"Barbados","2014","Female","Not applicable","Percent","2.96753"
"Barbados","2014","Male","Not applicable","Percent","2.50934"
"Barbados","2011","All genders","Not applicable","Percent","74.60191"
"Barbados","2011","Male","Not applicable","Percent","72.23942"
"Barbados","2011","Female","Not applicable","Percent","77.10383"
"Barbados","2010","All genders","Not applicable","Percent","78.1084"
"Barbados","2010","Female","Not applicable","Percent","77.9235"
"Barbados","2010","Male","Not applicable","Percent","78.28335"
"Barbados","2009","All genders","Not applicable","Percent","74.29763"
"Barbados","2009","Male","Not applicable","Percent","70.1543"
"Barbados","2009","Female","Not applicable","Percent","78.66155"
"Barbados","2008","All genders","Not applicable","Percent","86.02877"
"Barbados","2008","Female","Not applicable","Percent","85.80044"
"Barbados","2008","Male","Not applicable","Percent","86.24606"
"Barbados","2007","All genders","Not applicable","Percent","83.06179"
"Barbados","2007","Male","Not applicable","Percent","83.43918"
"Barbados","2007","Female","Not applicable","Percent","82.6671"
"Barbados","2006","All genders","Not applicable","Percent","79.55724"
"Barbados","2006","Female","Not applicable","Percent","80.10214"
"Barbados","2006","Male","Not applicable","Percent","79.03477"
"Barbados","2005","All genders","Not applicable","Percent","86.0111"
"Barbados","2005","Male","Not applicable","Percent","86.53522"
"Barbados","2005","Female","Not applicable","Percent","85.46603"
"Barbados","2004","All genders","Not applicable","Percent","82.58063"
"Barbados","2004","Female","Not applicable","Percent","82.87854"
"Barbados","2004","Male","Not applicable","Percent","82.29264"
"Barbados","2003","All genders","Not applicable","Percent","82.27226"
"Barbados","2003","Male","Not applicable","Percent","82.15196"
"Barbados","2003","Female","Not applicable","Percent","82.39622"
"Barbados","2002","Female","Not applicable","Percent","73.26834"
"Barbados","2002","Male","Not applicable","Percent","74.2"
"Barbados","2002","All genders","Not applicable","Percent","73.74019"
"Barbados","2001","All genders","Not applicable","Percent","73.45924"
"Barbados","2001","Male","Not applicable","Percent","73.87033"
"Barbados","2001","Female","Not applicable","Percent","73.03823"
"Barbados","2000","Female","Not applicable","Percent","72.64957"
"Barbados","2000","Male","Not applicable","Percent","71.0152"
"Barbados","2000","All genders","Not applicable","Percent","71.82224"
"Barbados","1999","All genders","Not applicable","Percent","77.03207"
"Barbados","1999","Male","Not applicable","Percent","77.51595"
"Barbados","1999","Female","Not applicable","Percent","76.53575"
"Belarus","2014","All genders","Not applicable","Percent","80.13276"
"Belarus","2014","Female","Not applicable","Percent","80.25771"
"Belarus","2014","Male","Not applicable","Percent","80.01444"
"Belarus","2013","Male","Not applicable","Percent","75.67053"
"Belarus","2013","Female","Not applicable","Percent","82.84367"
"Belarus","2013","All genders","Not applicable","Percent","79.16025"
"Belarus","2012","All genders","Not applicable","Percent","77.28712"
"Belarus","2003","All genders","Not applicable","Percent","74.59755"
"Belarus","2003","Female","Not applicable","Percent","73.80356"
"Belarus","2003","Male","Not applicable","Percent","75.34817"
"Belarus","2002","Male","Not applicable","Percent","75.28101"
"Belarus","2002","Female","Not applicable","Percent","73.78794"
"Belarus","2002","All genders","Not applicable","Percent","74.55521"
"Belarus","2000","All genders","Not applicable","Percent","81.85964"
"Belarus","2000","Female","Not applicable","Percent","81.65362"
"Belarus","2000","Male","Not applicable","Percent","82.05467"
"Belarus","1999","Female","Not applicable","Percent","77.27013"
"Belarus","1999","All genders","Not applicable","Percent","77.74235"
"Belarus","1999","Male","Not applicable","Percent","78.18933"
"Belize","2014","Male","Not applicable","Percent","66.57165"
"Belize","2014","All genders","Not applicable","Percent","65.06072"
"Belize","2014","Female","Not applicable","Percent","63.49206"
"Belize","2013","Male","Not applicable","Percent","66.28235"
"Belize","2013","Female","Not applicable","Percent","62.3081"
"Belize","2013","All genders","Not applicable","Percent","64.32756"
"Belize","2012","Male","Not applicable","Percent","64.13898"
"Belize","2012","All genders","Not applicable","Percent","64.07555"
"Belize","2012","Female","Not applicable","Percent","64.01042"
"Belize","2011","Male","Not applicable","Percent","63.03855"
"Belize","2011","All genders","Not applicable","Percent","62.43312"
"Belize","2011","Female","Not applicable","Percent","61.81397"
"Belize","2010","All genders","Not applicable","Percent","64.7104"
"Belize","2010","Female","Not applicable","Percent","65.31508"
"Belize","2010","Male","Not applicable","Percent","64.1175"
"Belize","2009","All genders","Not applicable","Percent","60.42199"
"Belize","2009","Male","Not applicable","Percent","61.27724"
"Belize","2009","Female","Not applicable","Percent","59.55085"
"Belize","2008","All genders","Not applicable","Percent","59.96934"
"Belize","2008","Female","Not applicable","Percent","58.42146"
"Belize","2008","Male","Not applicable","Percent","61.48785"
"Belize","2007","All genders","Not applicable","Percent","61.72903"
"Belize","2007","Male","Not applicable","Percent","61.28951"
"Belize","2007","Female","Not applicable","Percent","62.1775"
"Belize","2006","Female","Not applicable","Percent","62.01811"
"Belize","2006","Male","Not applicable","Percent","62.14231"
"Belize","2006","All genders","Not applicable","Percent","62.08088"
"Belize","2004","All genders","Not applicable","Percent","59.05439"
"Belize","2004","Male","Not applicable","Percent","60.21365"
"Belize","2004","Female","Not applicable","Percent","57.86951"
"Belize","2001","Female","Not applicable","Percent","67.85411"
"Belize","2001","Male","Not applicable","Percent","71.09635"
"Belize","2001","All genders","Not applicable","Percent","69.49224"
"Belize","2000","All genders","Not applicable","Percent","72.94084"
"Belize","2000","Male","Not applicable","Percent","75.04303"
"Belize","2000","Female","Not applicable","Percent","70.79179"
"Benin","2011","Male","Not applicable","Percent","60.87182"
"Benin","2011","Female","Not applicable","Percent","52.08379"
"Benin","2011","All genders","Not applicable","Percent","56.51229"
"Benin","2010","All genders","Not applicable","Percent","59.92004"
"Benin","2010","Female","Not applicable","Percent","57.32805"
"Benin","2010","Male","Not applicable","Percent","62.47436"
"Benin","2005","Male","Not applicable","Percent","52.45312"
"Benin","2005","Female","Not applicable","Percent","45.08692"
"Benin","2005","All genders","Not applicable","Percent","48.7771"
"Benin","2004","All genders","Not applicable","Percent","48.99831"
"Benin","2004","Female","Not applicable","Percent","44.01859"
"Benin","2004","Male","Not applicable","Percent","53.97193"
"Benin","2003","Female","Not applicable","Percent","41.54486"
"Benin","2003","Male","Not applicable","Percent","52.60531"
"Benin","2003","All genders","Not applicable","Percent","47.07055"
"Bermuda","2012","All genders","Not applicable","Percent","65.1341"
"Bermuda","2012","Female","Not applicable","Percent","62.23958"
"Bermuda","2012","Male","Not applicable","Percent","67.9198"
"Bermuda","2011","Male","Not applicable","Percent","68.64198"
"Bermuda","2011","Female","Not applicable","Percent","65.56122"
"Bermuda","2011","All genders","Not applicable","Percent","67.12673"
"Bermuda","2010","Male","Not applicable","Percent","67.6399"
"Bermuda","2010","All genders","Not applicable","Percent","67.41016"
"Bermuda","2010","Female","Not applicable","Percent","67.17172"
"Bhutan","2014","Male","Not applicable","Percent","59.76696"
"Bhutan","2014","Female","Not applicable","Percent","58.08366"
"Bhutan","2014","All genders","Not applicable","Percent","58.93814"
"Bhutan","2013","All genders","Not applicable","Percent","48.82583"
"Bhutan","2013","Female","Not applicable","Percent","48.91412"
"Bhutan","2013","Male","Not applicable","Percent","48.74019"
"Bhutan","2005","Male","Not applicable","Percent","29.72248"
"Bhutan","2005","Female","Not applicable","Percent","29.46453"
"Bhutan","2005","All genders","Not applicable","Percent","29.59538"
"Bolivia","2007","All genders","Not applicable","Percent","68.3437"
"Bolivia","2007","Female","Not applicable","Percent","68.48428"
"Bolivia","2007","Male","Not applicable","Percent","68.20767"
"Bolivia","2006","All genders","Not applicable","Percent","73.48654"
"Bolivia","2006","Male","Not applicable","Percent","73.31688"
"Bolivia","2006","Female","Not applicable","Percent","73.66173"
"Bolivia","2003","All genders","Not applicable","Percent","73.47584"
"Bolivia","2003","Male","Not applicable","Percent","73.56718"
"Bolivia","2003","Female","Not applicable","Percent","73.38165"
"Bolivia","2002","Male","Not applicable","Percent","74.04236"
"Bolivia","2002","Female","Not applicable","Percent","73.86794"
"Bolivia","2002","All genders","Not applicable","Percent","73.95645"
"Bolivia","2001","Male","Not applicable","Percent","71.61081"
"Bolivia","2001","All genders","Not applicable","Percent","72.01225"
"Bolivia","2001","Female","Not applicable","Percent","72.42549"
"Bolivia","2000","Male","Not applicable","Percent","70.65781"
"Bolivia","2000","Female","Not applicable","Percent","71.81609"
"Bolivia","2000","All genders","Not applicable","Percent","71.22887"
"Bolivia","1999","Male","Not applicable","Percent","72.49138"
"Bolivia","1999","All genders","Not applicable","Percent","73.00323"
"Bolivia","1999","Female","Not applicable","Percent","73.52947"
"Bosnia and Herzegovina","2013","All genders","Not applicable","Percent","86.24673"
"Bosnia and Herzegovina","2013","Female","Not applicable","Percent","87.51871"
"Bosnia and Herzegovina","2013","Male","Not applicable","Percent","85.04902"
"Bosnia and Herzegovina","2012","Female","Not applicable","Percent","91.91806"
"Bosnia and Herzegovina","2012","Male","Not applicable","Percent","89.71445"
"Bosnia and Herzegovina","2012","All genders","Not applicable","Percent","90.78312"
"Bosnia and Herzegovina","2011","Female","Not applicable","Percent","91.62655"
"Bosnia and Herzegovina","2011","All genders","Not applicable","Percent","90.98584"
"Bosnia and Herzegovina","2011","Male","Not applicable","Percent","90.38274"
"Botswana","2013","All genders","Not applicable","Percent","54.2533"
"Botswana","2013","Male","Not applicable","Percent","53.63998"
"Botswana","2013","Female","Not applicable","Percent","54.87789"
"Botswana","2012","All genders","Not applicable","Percent","54.75125"
"Botswana","2012","Female","Not applicable","Percent","55.52653"
"Botswana","2012","Male","Not applicable","Percent","53.99026"
"Botswana","2001","All genders","Not applicable","Percent","25.42717"
"Botswana","2001","Male","Not applicable","Percent","23.97341"
"Botswana","2001","Female","Not applicable","Percent","26.90295"
"Botswana","2000","All genders","Not applicable","Percent","23.37098"
"Botswana","2000","Female","Not applicable","Percent","24.98968"
"Botswana","2000","Male","Not applicable","Percent","21.77511"
"Botswana","1999","All genders","Not applicable","Percent","22.62309"
"Botswana","1999","Male","Not applicable","Percent","20.62528"
"Botswana","1999","Female","Not applicable","Percent","24.64879"
"Botswana","1998","Female","Not applicable","Percent","23.61647"
"Botswana","1998","Male","Not applicable","Percent","20.84491"
"Botswana","1998","All genders","Not applicable","Percent","22.22147"
"Brunei Darussalam","2014","All genders","Not applicable","Percent","67.89427"
"Brunei Darussalam","2014","Male","Not applicable","Percent","66.39997"
"Brunei Darussalam","2014","Female","Not applicable","Percent","69.49321"
"Brunei Darussalam","2013","Female","Not applicable","Percent","74.74243"
"Brunei Darussalam","2013","Male","Not applicable","Percent","74.05677"
"Brunei Darussalam","2013","All genders","Not applicable","Percent","74.3893"
"Brunei Darussalam","2010","Female","Not applicable","Percent","70.52754"
"Brunei Darussalam","2010","All genders","Not applicable","Percent","70.30552"
"Brunei Darussalam","2010","Male","Not applicable","Percent","70.09372"
"Brunei Darussalam","2009","Female","Not applicable","Percent","64.62704"
"Brunei Darussalam","2009","Male","Not applicable","Percent","64.39491"
"Brunei Darussalam","2009","All genders","Not applicable","Percent","64.50774"
"Brunei Darussalam","2008","Female","Not applicable","Percent","66.72312"
"Brunei Darussalam","2008","All genders","Not applicable","Percent","66.42716"
"Brunei Darussalam","2008","Male","Not applicable","Percent","66.1485"
"Brunei Darussalam","2005","Female","Not applicable","Percent","64.63147"
"Brunei Darussalam","2005","All genders","Not applicable","Percent","66.45953"
"Brunei Darussalam","2005","Male","Not applicable","Percent","68.19022"
"Bulgaria","2014","Female","Not applicable","Percent","87.81129"
"Bulgaria","2014","Male","Not applicable","Percent","89.2652"
"Bulgaria","2014","All genders","Not applicable","Percent","88.55854"
"Bulgaria","2013","All genders","Not applicable","Percent","88.77509"
"Bulgaria","2013","Male","Not applicable","Percent","89.0526"
"Bulgaria","2013","Female","Not applicable","Percent","88.48055"
"Bulgaria","2002","Female","Not applicable","Percent","87.52991"
"Bulgaria","2002","Male","Not applicable","Percent","86.94533"
"Bulgaria","2002","All genders","Not applicable","Percent","87.22984"
"Burkina Faso","2013","Female","Not applicable","Percent","28.39649"
"Burkina Faso","2013","All genders","Not applicable","Percent","29.28302"
"Burkina Faso","2013","Male","Not applicable","Percent","30.15339"
"Burkina Faso","2012","Female","Not applicable","Percent","26.72215"
"Burkina Faso","2012","Male","Not applicable","Percent","28.34056"
"Burkina Faso","2012","All genders","Not applicable","Percent","27.53975"
"Burkina Faso","2011","Female","Not applicable","Percent","15.91457"
"Burkina Faso","2011","Male","Not applicable","Percent","16.9821"
"Burkina Faso","2011","All genders","Not applicable","Percent","16.45434"
"Burkina Faso","2010","Male","Not applicable","Percent","20.23452"
"Burkina Faso","2010","All genders","Not applicable","Percent","19.83045"
"Burkina Faso","2010","Female","Not applicable","Percent","19.41572"
"Burkina Faso","2009","Male","Not applicable","Percent","35.35098"
"Burkina Faso","2009","Female","Not applicable","Percent","33.03035"
"Burkina Faso","2009","All genders","Not applicable","Percent","34.20804"
"Burkina Faso","2008","Male","Not applicable","Percent","45.28044"
"Burkina Faso","2008","All genders","Not applicable","Percent","43.17205"
"Burkina Faso","2008","Female","Not applicable","Percent","40.99622"
"Burkina Faso","2007","Male","Not applicable","Percent","36.06663"
"Burkina Faso","2007","Female","Not applicable","Percent","30.91037"
"Burkina Faso","2007","All genders","Not applicable","Percent","33.52999"
"Burkina Faso","2006","Male","Not applicable","Percent","30.70842"
"Burkina Faso","2006","All genders","Not applicable","Percent","28.0939"
"Burkina Faso","2006","Female","Not applicable","Percent","25.39477"
"Burkina Faso","2005","Male","Not applicable","Percent","33.1655"
"Burkina Faso","2005","Female","Not applicable","Percent","27.36202"
"Burkina Faso","2005","All genders","Not applicable","Percent","30.30956"
"Burkina Faso","2004","Male","Not applicable","Percent","28.53425"
"Burkina Faso","2004","All genders","Not applicable","Percent","26.42298"
"Burkina Faso","2004","Female","Not applicable","Percent","24.24488"
"Burkina Faso","2003","Male","Not applicable","Percent","26.27567"
"Burkina Faso","2003","Female","Not applicable","Percent","19.44599"
"Burkina Faso","2003","All genders","Not applicable","Percent","22.91323"
"Burkina Faso","2002","Male","Not applicable","Percent","22.12313"
"Burkina Faso","2002","All genders","Not applicable","Percent","19.16235"
"Burkina Faso","2002","Female","Not applicable","Percent","16.11049"
"Burkina Faso","2001","Male","Not applicable","Percent","25.41624"
"Burkina Faso","2001","Female","Not applicable","Percent","18.10503"
"Burkina Faso","2001","All genders","Not applicable","Percent","21.81574"
"Burkina Faso","2000","All genders","Not applicable","Percent","21.43775"
"Burkina Faso","2000","Female","Not applicable","Percent","17.67525"
"Burkina Faso","2000","Male","Not applicable","Percent","25.08872"
"Burkina Faso","1999","Male","Not applicable","Percent","23.0383"
"Burkina Faso","1999","Female","Not applicable","Percent","16.28819"
"Burkina Faso","1999","All genders","Not applicable","Percent","19.71412"
"Burundi","2014","Female","Not applicable","Percent","59.06932"
"Burundi","2014","All genders","Not applicable","Percent","58.78492"
"Burundi","2014","Male","Not applicable","Percent","58.49858"
"Burundi","2013","Female","Not applicable","Percent","71.6635"
"Burundi","2013","Male","Not applicable","Percent","71.87917"
"Burundi","2013","All genders","Not applicable","Percent","71.7708"
"Burundi","2012","Female","Not applicable","Percent","70.05362"
"Burundi","2012","Male","Not applicable","Percent","71.16303"
"Burundi","2012","All genders","Not applicable","Percent","70.60469"
"Burundi","2011","Male","Not applicable","Percent","71.04373"
"Burundi","2011","All genders","Not applicable","Percent","70.59284"
"Burundi","2011","Female","Not applicable","Percent","70.14883"
"Burundi","2010","Male","Not applicable","Percent","71.11024"
"Burundi","2010","Female","Not applicable","Percent","70.28791"
"Burundi","2010","All genders","Not applicable","Percent","70.69613"
"Burundi","2009","Male","Not applicable","Percent","55.67135"
"Burundi","2009","All genders","Not applicable","Percent","55.10212"
"Burundi","2009","Female","Not applicable","Percent","54.54023"
"Burundi","2007","Male","Not applicable","Percent","51.71053"
"Burundi","2007","Female","Not applicable","Percent","49.44208"
"Burundi","2007","All genders","Not applicable","Percent","50.5703"
"Burundi","2006","Male","Not applicable","Percent","52.69046"
"Burundi","2006","All genders","Not applicable","Percent","53.0054"
"Burundi","2006","Female","Not applicable","Percent","53.31707"
"Burundi","2005","Male","Not applicable","Percent","33.41055"
"Burundi","2005","Female","Not applicable","Percent","30.15877"
"Burundi","2005","All genders","Not applicable","Percent","31.77646"
"Burundi","2004","Male","Not applicable","Percent","34.52428"
"Burundi","2004","All genders","Not applicable","Percent","32.7828"
"Burundi","2004","Female","Not applicable","Percent","31.05868"
"Burundi","2003","Male","Not applicable","Percent","30.83459"
"Burundi","2003","Female","Not applicable","Percent","29.85678"
"Burundi","2003","All genders","Not applicable","Percent","30.34322"
"Burundi","2000","Male","Not applicable","Percent","26.81376"
"Burundi","2000","All genders","Not applicable","Percent","25.29464"
"Burundi","2000","Female","Not applicable","Percent","23.78813"
"Cambodia","2012","All genders","Not applicable","Percent","94.01082"
"Cambodia","2012","Male","Not applicable","Percent","96.18322"
"Cambodia","2012","Female","Not applicable","Percent","91.79498"
"Cambodia","2011","Female","Not applicable","Percent","94.48121"
