"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Least Developed Countries","Democratic Republic of the Congo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","55.40","SOURCE: DHS 2013-2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Democratic Republic of the Congo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","55.40","SOURCE: DHS 2013-2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Democratic Republic of the Congo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","47.70","SOURCE: DHS 2013-2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Democratic Republic of the Congo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","47.70","SOURCE: DHS 2013-2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Congo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","59.00","SOURCE: MICS 2014-2015"
"SDG: Sub-Saharan Africa","Congo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","58.40","SOURCE: MICS 2014-2015"
"SDG: Latin America and the Caribbean","Cuba","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","88.50","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Cuba","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","88.50","SOURCE: MICS 2014"
"SDG: Latin America and the Caribbean","Cuba","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","90.00","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Cuba","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","90.00","SOURCE: MICS 2014"
"SDG: Least Developed Countries","Djibouti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","38.20","SOURCE: EDSF/PAPFAM 2012. Refers to children aged 0-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Djibouti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","38.20","SOURCE: EDSF/PAPFAM 2012. Refers to children aged 0-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Djibouti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","35.00","SOURCE: EDSF/PAPFAM 2012. Refers to children aged 0-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Djibouti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","35.00","SOURCE: EDSF/PAPFAM 2012. Refers to children aged 0-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Latin America and the Caribbean","Dominican Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","57.70","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Dominican Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","57.70","SOURCE: MICS 2014"
"SDG: Latin America and the Caribbean","Dominican Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","58.50","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Dominican Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","58.50","SOURCE: MICS 2014"
"SDG: Northern Africa","Algeria","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2013","78.60","SOURCE: MICS 2012-2013"
"SDG: Northern Africa and Western Asia","Algeria","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2013","78.60","SOURCE: MICS 2012-2013"
"SDG: Northern Africa","Algeria","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2013","77.60","SOURCE: MICS 2012-2013"
"SDG: Northern Africa and Western Asia","Algeria","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2013","77.60","SOURCE: MICS 2012-2013"
"SDG: Northern Africa and Western Asia","Georgia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","76.70","SOURCE: MICS 2018"
"SDG: Western Asia","Georgia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","76.70","SOURCE: MICS 2018"
"SDG: Northern Africa and Western Asia","Georgia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","78.50","SOURCE: MICS 2018"
"SDG: Western Asia","Georgia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","78.50","SOURCE: MICS 2018"
"SDG: Least Developed Countries","Guinea","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","30.20","SOURCE: MICS 2016"
"SDG: Sub-Saharan Africa","Guinea","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","30.20","SOURCE: MICS 2016"
"SDG: Least Developed Countries","Guinea","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","32.60","SOURCE: MICS 2016"
"SDG: Sub-Saharan Africa","Guinea","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","32.60","SOURCE: MICS 2016"
"SDG: Least Developed Countries","Gambia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","14.80","SOURCE: MICS 2018"
"SDG: Sub-Saharan Africa","Gambia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","14.80","SOURCE: MICS 2018"
"SDG: Least Developed Countries","Gambia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","17.90","SOURCE: MICS 2018"
"SDG: Sub-Saharan Africa","Gambia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","17.90","SOURCE: MICS 2018"
"SDG: Least Developed Countries","Guinea-Bissau","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","28.10","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Guinea-Bissau","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","28.10","SOURCE: MICS 2014"
"SDG: Sub-Saharan Africa","Guinea-Bissau","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","28.10","SOURCE: MICS 2014"
"SDG: Least Developed Countries","Guinea-Bissau","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","40.50","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Guinea-Bissau","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","40.50","SOURCE: MICS 2014"
"SDG: Sub-Saharan Africa","Guinea-Bissau","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","40.50","SOURCE: MICS 2014"
"SDG: Latin America and the Caribbean","Guyana","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","89.80","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Guyana","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","89.80","SOURCE: MICS 2014"
"SDG: Latin America and the Caribbean","Guyana","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","85.00","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Guyana","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","85.00","SOURCE: MICS 2014"
"SDG: Latin America and the Caribbean","Honduras","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","37.80","SOURCE: DHS 2011-2012"
"SDG: Latin America and the Caribbean","Honduras","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","39.40","SOURCE: DHS 2011-2012"
"SDG: Latin America and the Caribbean","Haiti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","56.90","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Haiti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","56.90","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Small Island Developing States","Haiti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","56.90","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Latin America and the Caribbean","Haiti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","51.80","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Haiti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","51.80","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Small Island Developing States","Haiti","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","51.80","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Northern Africa and Western Asia","Iraq","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","45.30","SOURCE: MICS 2018. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Western Asia","Iraq","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","45.30","SOURCE: MICS 2018. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Northern Africa and Western Asia","Iraq","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","43.60","SOURCE: MICS 2018. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Western Asia","Iraq","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","43.60","SOURCE: MICS 2018. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Northern Africa and Western Asia","Jordan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","92.00","SOURCE: DHS 2017-2018. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Western Asia","Jordan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","92.00","SOURCE: DHS 2017-2018. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Northern Africa and Western Asia","Jordan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","91.30","SOURCE: DHS 2017-2018. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Western Asia","Jordan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","91.30","SOURCE: DHS 2017-2018. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Central and Southern Asia","Kazakhstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","84.00","SOURCE: MICS 2015"
"SDG: Central Asia","Kazakhstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","84.00","SOURCE: MICS 2015"
"SDG: Landlocked Developing Countries","Kazakhstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","84.00","SOURCE: MICS 2015"
"SDG: Central and Southern Asia","Kazakhstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","87.20","SOURCE: MICS 2015"
"SDG: Central Asia","Kazakhstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","87.20","SOURCE: MICS 2015"
"SDG: Landlocked Developing Countries","Kazakhstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","87.20","SOURCE: MICS 2015"
"SDG: Central and Southern Asia","Kyrgyzstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","86.50","SOURCE: MICS 2018"
"SDG: Central Asia","Kyrgyzstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","86.50","SOURCE: MICS 2018"
"SDG: Landlocked Developing Countries","Kyrgyzstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","86.50","SOURCE: MICS 2018"
"SDG: Central and Southern Asia","Kyrgyzstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","87.70","SOURCE: MICS 2018"
"SDG: Central Asia","Kyrgyzstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","87.70","SOURCE: MICS 2018"
"SDG: Landlocked Developing Countries","Kyrgyzstan","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","87.70","SOURCE: MICS 2018"
"SDG: Eastern and South-Eastern Asia","Cambodia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","56.50","SOURCE: DHS 2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Cambodia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","56.50","SOURCE: DHS 2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: South-Eastern Asia","Cambodia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","56.50","SOURCE: DHS 2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Eastern and South-Eastern Asia","Cambodia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","62.20","SOURCE: DHS 2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Cambodia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","62.20","SOURCE: DHS 2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: South-Eastern Asia","Cambodia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","62.20","SOURCE: DHS 2014. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Eastern and South-Eastern Asia","Lao People's Democratic Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","30.40","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Landlocked Developing Countries","Lao People's Democratic Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","30.40","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Lao People's Democratic Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","30.40","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: South-Eastern Asia","Lao People's Democratic Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","30.40","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Eastern and South-Eastern Asia","Lao People's Democratic Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","29.20","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Landlocked Developing Countries","Lao People's Democratic Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","29.20","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Lao People's Democratic Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","29.20","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: South-Eastern Asia","Lao People's Democratic Republic","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","29.20","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Latin America and the Caribbean","Saint Lucia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","96.10","SOURCE: MICS 2012"
"SDG: Small Island Developing States","Saint Lucia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","96.10","SOURCE: MICS 2012"
"SDG: Latin America and the Caribbean","Saint Lucia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","89.40","SOURCE: MICS 2012"
"SDG: Small Island Developing States","Saint Lucia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","89.40","SOURCE: MICS 2012"
"SDG: Landlocked Developing Countries","Lesotho","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","28.50","SOURCE: MICS 2018"
"SDG: Least Developed Countries","Lesotho","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","28.50","SOURCE: MICS 2018"
